line,colour
iCab,#424B4D
22-1,#FB737A
7-2,#FD6F86
75-1,#FF6C91
8-2,#FF699C
18-2,#FF66A6
134-1,#FF64B0
47-1,#FF62BA
4-1,#FF61C3
139-4,#FF61CC
4-2,#FC61D4
23-2,#F962DC
29-1,#F564E3
14-2,#F066EA
11-2,#EA6AF1
53-2,#E36EF6
138-1,#DB72FB
20-1,#D177FF
69-2,#C77CFF
50-2,#BB81FF
60-1,#AE87FF
140-3,#9F8CFF
59-2,#8E92FF
55-2,#7A97FF
11-1,#619CFF
72-1,#3FA1FF
129-1,#00A5FF
39-2,#00A9FF
32-2,#00ADFA
137-4,#00B1F5
17-1,#00B4F0
106-1,#00B6EA
106-2,#00B9E3
15-1,#00BBDC
135-2,#00BDD5
71-1,#00BECD
5-1,#00BFC4
123-2,#00C0BC
59-1,#00C0B3
80-2,#00C1A9
72-2,#00C19F
30-1,#00C095
38-2,#00C08B
61-1,#00BF80
95-1,#00BF74
132-4-1,#00BE67
131-4,#00BC5A
68-1,#00BB4B
80-1,#00BA38
70-2,#00B81E
117-1,#2BB600
21-2,#49B500
14-1,#5EB300
40-2,#6EB000
58-2,#7CAE00
110-2,#88AC00
40-1,#93AA00
25-1,#9DA700
49-1,#A6A400
23-1,#AFA200
79-2,#B79F00
39-1,#BF9C00
117-2,#C69900
62-2,#CD9600
94-1,#D39200
84-2,#D98F00
135-1,#DE8C00
69-1,#E48800
104-1,#E88526
33-1,#ED813E
43-2,#F17D50
13-2,#F57A5F
10-1,#F8766D
Kiyosu CC,#718084
luzonensis,#C8CED0
